== Magnetic Field Strength at 550 km Altitude ==
    Latitude (°)    Longitude (°)    Total B Field (nT)    XY Component (nT)
    ____________    _____________    __________________    _________________

        -90                0               54439                 16833      
        -90              180               54439                 16833      
        -45                0               23869                 10758      
        -45              180               56218                 20895      
          0                0               31924                 27567      
          0              180               34099                 33956      
         45                0               46977                 23132      
         45              180               45215                 24260      
         90                0               56842                1758.1      
         90              180               56842                1758.1  
